"","Dates","Close.Price","Returns"
"1","1991/02/01",343.049988,-0.3
"2","1991/02/04",348.339996,1.5
"18","1991/02/27",367.73999,1.4
"19","1991/02/28",367.070007,-0.2
"20","1991/03/01",370.470001,0.9
"21","1991/03/04",369.329987,-0.3
"38","1991/03/27",375.350006,-0.3
"39","1991/03/28",375.220001,0
"40","1991/04/01",371.299988,-1
"41","1991/04/02",379.5,2.2
"60","1991/04/29",373.660004,-1.4
"61","1991/04/30",375.339996,0.4
"62","1991/05/01",380.290009,1.3
"63","1991/05/02",380.519989,0.1
"82","1991/05/30",386.959991,1.1
"83","1991/05/31",389.829987,0.7
"84","1991/06/03",388.059998,-0.5
"85","1991/06/04",387.73999,-0.1
"102","1991/06/27",374.399994,0.8
"103","1991/06/28",371.160004,-0.9
"104","1991/07/01",377.920013,1.8
"105","1991/07/02",377.470001,-0.1
"124","1991/07/30",386.690002,0.9
"125","1991/07/31",387.809998,0.3
"126","1991/08/01",387.119995,-0.2
"127","1991/08/02",387.179993,0
"146","1991/08/29",396.470001,0
"147","1991/08/30",395.429993,-0.3
"148","1991/09/03",392.149994,-0.8
"149","1991/09/04",389.970001,-0.6
"166","1991/09/27",385.899994,-0.2
"167","1991/09/30",387.859985,0.5
"168","1991/10/01",389.200012,0.3
"169","1991/10/02",388.26001,-0.2
"189","1991/10/30",392.959991,0.4
"190","1991/10/31",392.450012,-0.1
"191","1991/11/01",391.320007,-0.3
"192","1991/11/04",390.279999,-0.3
"209","1991/11/27",376.549988,-0.4
"210","1991/11/29",375.220001,-0.4
"211","1991/12/02",381.399994,1.6
"212","1991/12/03",380.959991,-0.1
"230","1991/12/30",415.140015,2.1
"231","1991/12/31",417.089996,0.5
"232","1992/01/02",417.26001,0
"233","1992/01/03",419.339996,0.5
"252","1992/01/30",411.619995,0.3
"253","1992/01/31",408.779999,-0.7
"254","1992/02/03",409.529999,0.2
"255","1992/02/04",413.850006,1.1
"271","1992/02/27",413.859985,-0.4
"272","1992/02/28",412.700012,-0.3
"273","1992/03/02",412.450012,-0.1
"274","1992/03/03",412.850006,0.1
"293","1992/03/30",403,-0.1
"294","1992/03/31",403.690002,0.2
"295","1992/04/01",404.230011,0.1
"296","1992/04/02",400.5,-0.9
"314","1992/04/29",412.019989,0.7
"315","1992/04/30",414.950012,0.7
"316","1992/05/01",412.529999,-0.6
"317","1992/05/04",416.910004,1.1
"334","1992/05/28",416.73999,1.1
"335","1992/05/29",415.350006,-0.3
"336","1992/06/01",417.299988,0.5
"337","1992/06/02",413.5,-0.9
"356","1992/06/29",408.940002,1.4
"357","1992/06/30",408.140015,-0.2
"358","1992/07/01",412.880005,1.2
"359","1992/07/02",411.769989,-0.3
"378","1992/07/30",423.920013,0.4
"379","1992/07/31",424.209991,0.1
"380","1992/08/03",425.089996,0.2
"381","1992/08/04",424.359985,-0.2
"399","1992/08/28",414.839996,0.3
"400","1992/08/31",414.029999,-0.2
"401","1992/09/01",416.070007,0.5
"402","1992/09/02",417.980011,0.5
"420","1992/09/29",416.799988,0
"421","1992/09/30",417.799988,0.2
"422","1992/10/01",416.290009,-0.4
"423","1992/10/02",410.470001,-1.4
"442","1992/10/29",420.859985,0.2
"443","1992/10/30",418.679993,-0.5
"444","1992/11/02",422.75,1
"445","1992/11/03",419.920013,-0.7
"462","1992/11/27",430.160004,0.2
"463","1992/11/30",431.350006,0.3
"464","1992/12/01",430.779999,-0.1
"465","1992/12/02",429.890015,-0.2
"484","1992/12/30",438.820007,0.2
"485","1992/12/31",435.709991,-0.7
"486","1993/01/04",435.380005,-0.1
"487","1993/01/05",434.339996,-0.2
"504","1993/01/28",438.660004,0.1
"505","1993/01/29",438.779999,0
"506","1993/02/01",442.519989,0.9
"507","1993/02/02",442.549988,0
"523","1993/02/25",442.339996,0.3
"524","1993/02/26",443.380005,0.2
"525","1993/03/01",442.01001,-0.3
"526","1993/03/02",447.899994,1.3
"546","1993/03/30",451.970001,0.3
"547","1993/03/31",451.670013,-0.1
"548","1993/04/01",450.299988,-0.3
"549","1993/04/02",441.390015,-2
"567","1993/04/29",438.890015,0.2
"568","1993/04/30",440.190002,0.3
"569","1993/05/03",442.459991,0.5
"570","1993/05/04",444.049988,0.4
"587","1993/05/27",452.410004,-0.2
"588","1993/05/28",450.190002,-0.5
"589","1993/06/01",453.829987,0.8
"590","1993/06/02",453.850006,0
"609","1993/06/29",450.690002,-0.3
"610","1993/06/30",450.529999,0
"611","1993/07/01",449.019989,-0.3
"612","1993/07/02",445.839996,-0.7
"630","1993/07/29",450.23999,0.7
"631","1993/07/30",448.130005,-0.5
"632","1993/08/02",450.149994,0.5
"633","1993/08/03",449.269989,-0.2
"652","1993/08/30",461.899994,0.3
"653","1993/08/31",463.559998,0.4
"654","1993/09/01",463.149994,-0.1
"655","1993/09/02",461.299988,-0.4
"673","1993/09/29",460.109985,-0.3
"674","1993/09/30",458.929993,-0.3
"675","1993/10/01",461.279999,0.5
"676","1993/10/04",461.339996,0
"694","1993/10/28",467.730011,0.7
"695","1993/10/29",467.829987,0
"696","1993/11/01",469.100006,0.3
"697","1993/11/02",468.440002,-0.1
"715","1993/11/29",461.899994,-0.3
"716","1993/11/30",461.790009,0
"717","1993/12/01",461.890015,0
"718","1993/12/02",463.109985,0.3
"737","1993/12/30",468.640015,-0.4
"738","1993/12/31",466.450012,-0.5
"739","1994/01/03",465.440002,-0.2
"740","1994/01/04",466.890015,0.3
"758","1994/01/28",478.700012,0.3
"759","1994/01/31",481.609985,0.6
"760","1994/02/01",479.619995,-0.4
"761","1994/02/02",482,0.5
"777","1994/02/25",466.070007,0.4
"778","1994/02/28",467.140015,0.2
"779","1994/03/01",464.440002,-0.6
"780","1994/03/02",464.809998,0.1
"800","1994/03/30",445.549988,-1.5
"801","1994/03/31",445.769989,0
"802","1994/04/04",438.920013,-1.5
"803","1994/04/05",448.290009,2.1
"819","1994/04/28",449.100006,-0.6
"820","1994/04/29",450.910004,0.4
"821","1994/05/02",453.019989,0.5
"822","1994/05/03",453.029999,0
"840","1994/05/27",457.329987,0.1
"841","1994/05/31",456.5,-0.2
"842","1994/06/01",457.630005,0.2
"843","1994/06/02",457.649994,0
"862","1994/06/29",447.630005,0.3
"863","1994/06/30",444.269989,-0.8
"864","1994/07/01",446.200012,0.4
"865","1994/07/05",446.369995,0
"882","1994/07/28",454.23999,0.4
"883","1994/07/29",458.26001,0.9
"884","1994/08/01",461.01001,0.6
"885","1994/08/02",460.559998,-0.1
"905","1994/08/30",476.070007,0.3
"906","1994/08/31",475.48999,-0.1
"907","1994/09/01",473.170013,-0.5
"908","1994/09/02",470.98999,-0.5
"926","1994/09/29",462.23999,-0.6
"927","1994/09/30",462.709991,0.1
"928","1994/10/03",461.73999,-0.2
"929","1994/10/04",454.589996,-1.5
"947","1994/10/28",473.769989,1.7
"948","1994/10/31",472.350006,-0.3
"949","1994/11/01",468.420013,-0.8
"950","1994/11/02",466.51001,-0.4
"968","1994/11/29",455.170013,0.2
"969","1994/11/30",453.690002,-0.3
"970","1994/12/01",448.920013,-1.1
"971","1994/12/02",453.299988,1
"989","1994/12/29",461.170013,0.1
"990","1994/12/30",459.269989,-0.4
"991","1995/01/03",459.109985,0
"992","1995/01/04",460.709991,0.3
"1010","1995/01/30",468.51001,-0.4
"1011","1995/01/31",470.420013,0.4
"1012","1995/02/01",470.399994,0
"1013","1995/02/02",472.790009,0.5
"1029","1995/02/27",483.809998,-0.9
"1030","1995/02/28",487.390015,0.7
"1031","1995/03/01",485.649994,-0.4
"1032","1995/03/02",485.130005,-0.1
"1052","1995/03/30",502.220001,-0.2
"1053","1995/03/31",500.709991,-0.3
"1054","1995/04/03",501.850006,0.2
"1055","1995/04/04",505.23999,0.7
"1071","1995/04/27",513.549988,0.2
"1072","1995/04/28",514.710022,0.2
"1073","1995/05/01",514.26001,-0.1
"1074","1995/05/02",514.859985,0.1
"1093","1995/05/30",523.580017,0
"1094","1995/05/31",533.400024,1.9
"1095","1995/06/01",533.48999,0
"1096","1995/06/02",532.51001,-0.2
"1115","1995/06/29",543.869995,-0.2
"1116","1995/06/30",544.75,0.2
"1117","1995/07/03",547.090027,0.4
"1118","1995/07/05",547.26001,0
"1135","1995/07/28",562.929993,-0.4
"1136","1995/07/31",562.059998,-0.2
"1137","1995/08/01",559.640015,-0.4
"1138","1995/08/02",558.799988,-0.2
"1158","1995/08/30",560.919983,0.2
"1159","1995/08/31",561.880005,0.2
"1160","1995/09/01",563.840027,0.3
"1161","1995/09/05",569.169983,0.9
"1178","1995/09/28",585.869995,0.8
"1179","1995/09/29",584.409973,-0.2
"1180","1995/10/02",581.719971,-0.5
"1181","1995/10/03",582.340027,0.1
"1200","1995/10/30",583.25,0.6
"1201","1995/10/31",581.5,-0.3
"1202","1995/11/01",584.219971,0.5
"1203","1995/11/02",589.719971,0.9
"1221","1995/11/29",607.640015,0.2
"1222","1995/11/30",605.369995,-0.4
"1223","1995/12/01",606.97998,0.3
"1224","1995/12/04",613.679993,1.1
"1241","1995/12/28",614.119995,-0.1
"1242","1995/12/29",615.929993,0.3
"1243","1996/01/02",620.72998,0.8
"1244","1996/01/03",621.320007,0.1
"1263","1996/01/30",630.150024,0.9
"1264","1996/01/31",636.02002,0.9
"1265","1996/02/01",638.460022,0.4
"1266","1996/02/02",635.840027,-0.4
"1283","1996/02/28",644.75,-0.4
"1284","1996/02/29",640.429993,-0.7
"1285","1996/03/01",644.369995,0.6
"1286","1996/03/04",650.809998,1
"1304","1996/03/28",648.940002,0
"1305","1996/03/29",645.5,-0.5
"1306","1996/04/01",653.72998,1.3
"1307","1996/04/02",655.26001,0.2
"1325","1996/04/29",654.159973,0.1
"1326","1996/04/30",654.169983,0
"1327","1996/05/01",654.580017,0.1
"1328","1996/05/02",643.380005,-1.7
"1347","1996/05/30",671.700012,0.6
"1348","1996/05/31",669.119995,-0.4
"1349","1996/06/03",667.679993,-0.2
"1350","1996/06/04",672.559998,0.7
"1367","1996/06/27",668.549988,0.6
"1368","1996/06/28",670.630005,0.3
"1369","1996/07/01",675.880005,0.8
"1370","1996/07/02",673.609985,-0.3
"1389","1996/07/30",635.26001,0.7
"1390","1996/07/31",639.950012,0.7
"1391","1996/08/01",650.02002,1.6
"1392","1996/08/02",662.48999,1.9
"1411","1996/08/29",657.400024,-1.1
"1412","1996/08/30",651.98999,-0.8
"1413","1996/09/03",654.719971,0.4
"1414","1996/09/04",655.609985,0.1
"1431","1996/09/27",686.190002,0
"1432","1996/09/30",687.330017,0.2
"1433","1996/10/01",689.080017,0.3
"1434","1996/10/02",694.01001,0.7
"1454","1996/10/30",700.900024,-0.1
"1455","1996/10/31",705.27002,0.6
"1456","1996/11/01",703.77002,-0.2
"1457","1996/11/04",706.72998,0.4
"1474","1996/11/27",755,-0.1
"1475","1996/11/29",757.02002,0.3
"1476","1996/12/02",756.559998,-0.1
"1477","1996/12/03",748.280029,-1.1
"1495","1996/12/30",753.849976,-0.4
"1496","1996/12/31",740.73999,-1.7
"1497","1997/01/02",737.01001,-0.5
"1498","1997/01/03",748.030029,1.5
"1517","1997/01/30",784.169983,1.5
"1518","1997/01/31",786.159973,0.3
"1519","1997/02/03",786.72998,0.1
"1520","1997/02/04",789.26001,0.3
"1536","1997/02/27",795.070007,-1.3
"1537","1997/02/28",790.820007,-0.5
"1538","1997/03/03",795.309998,0.6
"1539","1997/03/04",790.950012,-0.5
"1556","1997/03/27",773.880005,-2.1
"1557","1997/03/31",757.119995,-2.2
"1558","1997/04/01",759.640015,0.3
"1559","1997/04/02",750.109985,-1.3
"1578","1997/04/29",794.049988,2.7
"1579","1997/04/30",801.340027,0.9
"1580","1997/05/01",798.530029,-0.4
"1581","1997/05/02",812.969971,1.8
"1599","1997/05/29",844.080017,-0.4
"1600","1997/05/30",848.280029,0.5
"1601","1997/06/02",846.359985,-0.2
"1602","1997/06/03",845.47998,-0.1
"1620","1997/06/27",887.299988,0.4
"1621","1997/06/30",885.140015,-0.2
"1622","1997/07/01",891.030029,0.7
"1623","1997/07/02",904.030029,1.5
"1642","1997/07/30",952.289978,1.1
"1643","1997/07/31",954.309998,0.2
"1644","1997/08/01",947.140015,-0.8
"1645","1997/08/04",950.299988,0.3
"1663","1997/08/28",903.669983,-1.1
"1664","1997/08/29",899.469971,-0.5
"1665","1997/09/02",927.580017,3.1
"1666","1997/09/03",927.859985,0
"1684","1997/09/29",953.340027,0.9
"1685","1997/09/30",947.280029,-0.6
"1686","1997/10/01",955.409973,0.9
"1687","1997/10/02",960.460022,0.5
"1707","1997/10/30",903.679993,-1.7
"1708","1997/10/31",914.619995,1.2
"1709","1997/11/03",938.98999,2.7
"1710","1997/11/04",940.76001,0.2
"1726","1997/11/26",951.640015,0.1
"1727","1997/11/28",955.400024,0.4
"1728","1997/12/01",974.77002,2
"1729","1997/12/02",971.679993,-0.3
"1748","1997/12/30",970.840027,1.8
"1749","1997/12/31",970.429993,0
"1750","1998/01/02",975.039978,0.5
"1751","1998/01/05",977.070007,0.2
"1768","1998/01/29",985.48999,0.8
"1769","1998/01/30",980.280029,-0.5
"1770","1998/02/02",1001.27002,2.1
"1771","1998/02/03",1006,0.5
"1787","1998/02/26",1048.670044,0.6
"1788","1998/02/27",1049.339966,0.1
"1789","1998/03/02",1047.699951,-0.2
"1790","1998/03/03",1052.02002,0.4
"1809","1998/03/30",1093.599976,-0.2
"1810","1998/03/31",1101.75,0.7
"1811","1998/04/01",1108.150024,0.6
"1812","1998/04/02",1120.01001,1.1
"1830","1998/04/29",1094.619995,0.9
"1831","1998/04/30",1111.75,1.6
"1832","1998/05/01",1121,0.8
"1833","1998/05/04",1122.069946,0.1
"1850","1998/05/28",1097.599976,0.5
"1851","1998/05/29",1090.819946,-0.6
"1852","1998/06/01",1090.97998,0
"1853","1998/06/02",1093.219971,0.2
"1872","1998/06/29",1138.48999,0.5
"1873","1998/06/30",1133.839966,-0.4
"1874","1998/07/01",1148.560059,1.3
"1875","1998/07/02",1146.420044,-0.2
"1894","1998/07/30",1142.949951,1.6
"1895","1998/07/31",1120.670044,-1.9
"1896","1998/08/03",1112.439941,-0.7
"1897","1998/08/04",1072.119995,-3.6
"1915","1998/08/28",1027.140015,-1.5
"1916","1998/08/31",957.280029,-6.8
"1917","1998/09/01",994.26001,3.9
"1918","1998/09/02",990.47998,-0.4
"1936","1998/09/29",1049.02002,0
"1937","1998/09/30",1017.01001,-3.1
"1938","1998/10/01",986.390015,-3
"1939","1998/10/02",1002.599976,1.6
"1958","1998/10/29",1085.930054,1.7
"1959","1998/10/30",1098.670044,1.2
"1960","1998/11/02",1111.599976,1.2
"1961","1998/11/03",1110.839966,-0.1
"1978","1998/11/27",1192.329956,0.5
"1979","1998/11/30",1163.630005,-2.4
"1980","1998/12/01",1175.280029,1
"1981","1998/12/02",1171.25,-0.3
"2000","1998/12/30",1231.930054,-0.8
"2001","1998/12/31",1229.22998,-0.2
"2002","1999/01/04",1228.099976,-0.1
"2003","1999/01/05",1244.780029,1.4
"2019","1999/01/28",1265.369995,1.8
"2020","1999/01/29",1279.640015,1.1
"2021","1999/02/01",1273,-0.5
"2022","1999/02/02",1261.98999,-0.9
"2038","1999/02/25",1245.02002,-0.7
"2039","1999/02/26",1238.329956,-0.5
"2040","1999/03/01",1236.160034,-0.2
"2041","1999/03/02",1225.5,-0.9
"2061","1999/03/30",1300.75,-0.7
"2062","1999/03/31",1286.369995,-1.1
"2063","1999/04/01",1293.719971,0.6
"2064","1999/04/05",1321.119995,2.1
"2082","1999/04/29",1342.829956,-0.6
"2083","1999/04/30",1335.180054,-0.6
"2084","1999/05/03",1354.630005,1.5
"2085","1999/05/04",1332,-1.7
"2102","1999/05/27",1281.410034,-1.8
"2103","1999/05/28",1301.839966,1.6
"2104","1999/06/01",1294.26001,-0.6
"2105","1999/06/02",1294.810059,0
"2124","1999/06/29",1351.449951,1.5
"2125","1999/06/30",1372.709961,1.6
"2126","1999/07/01",1380.959961,0.6
"2127","1999/07/02",1391.219971,0.7
"2145","1999/07/29",1341.030029,-1.8
"2146","1999/07/30",1328.719971,-0.9
"2147","1999/08/02",1328.050049,-0.1
"2148","1999/08/03",1322.180054,-0.4
"2167","1999/08/30",1324.02002,-1.8
"2168","1999/08/31",1320.410034,-0.3
"2169","1999/09/01",1331.069946,0.8
"2170","1999/09/02",1319.109985,-0.9
"2188","1999/09/29",1268.369995,-1.1
"2189","1999/09/30",1282.709961,1.1
"2190","1999/10/01",1282.810059,0
"2191","1999/10/04",1304.599976,1.7
"2209","1999/10/28",1342.439941,3.5
"2210","1999/10/29",1362.930054,1.5
"2211","1999/11/01",1354.119995,-0.6
"2212","1999/11/02",1347.73999,-0.5
"2230","1999/11/29",1407.829956,-0.6
"2231","1999/11/30",1388.910034,-1.3
"2232","1999/12/01",1397.719971,0.6
"2233","1999/12/02",1409.040039,0.8
"2252","1999/12/30",1464.469971,0.1
"2253","1999/12/31",1469.25,0.3
"2254","2000/01/03",1455.219971,-1
"2255","2000/01/04",1399.420044,-3.8
"2272","2000/01/28",1360.160034,-2.7
"2273","2000/01/31",1394.459961,2.5
"2274","2000/02/01",1409.280029,1.1
"2275","2000/02/02",1409.119995,0
"2292","2000/02/28",1348.050049,1.1
"2293","2000/02/29",1366.420044,1.4
"2294","2000/03/01",1379.189941,0.9
"2295","2000/03/02",1381.76001,0.2
"2315","2000/03/30",1487.920044,-1.4
"2316","2000/03/31",1498.579956,0.7
"2317","2000/04/03",1505.969971,0.5
"2318","2000/04/04",1494.72998,-0.7
"2334","2000/04/27",1464.920044,0.3
"2335","2000/04/28",1452.430054,-0.9
"2336","2000/05/01",1468.25,1.1
"2337","2000/05/02",1446.290039,-1.5
