"","Dates","Close.Price","Returns"
"2356","2000/05/30",1422.449951,3.2
"2357","2000/05/31",1420.599976,-0.1
"2358","2000/06/01",1448.810059,2
"2359","2000/06/02",1477.26001,2
"2378","2000/06/29",1442.390015,-0.9
"2379","2000/06/30",1454.599976,0.8
"2380","2000/07/03",1469.540039,1
"2381","2000/07/05",1446.22998,-1.6
"2398","2000/07/28",1419.890015,-2.1
"2399","2000/07/31",1430.829956,0.8
"2400","2000/08/01",1438.099976,0.5
"2401","2000/08/02",1438.699951,0
"2421","2000/08/30",1502.589966,-0.5
"2422","2000/08/31",1517.680054,1
"2423","2000/09/01",1520.77002,0.2
"2424","2000/09/05",1507.079956,-0.9
"2441","2000/09/28",1458.290039,2.2
"2442","2000/09/29",1436.51001,-1.5
"2443","2000/10/02",1436.22998,0
"2444","2000/10/03",1426.459961,-0.7
"2463","2000/10/30",1398.660034,1.4
"2464","2000/10/31",1429.400024,2.2
"2465","2000/11/01",1421.219971,-0.6
"2466","2000/11/02",1428.319946,0.5
"2484","2000/11/29",1341.930054,0.4
"2485","2000/11/30",1314.949951,-2
"2486","2000/12/01",1315.22998,0
"2487","2000/12/04",1324.969971,0.7
"2504","2000/12/28",1334.219971,0.4
"2505","2000/12/29",1320.280029,-1
"2506","2001/01/02",1283.27002,-2.8
"2507","2001/01/03",1347.560059,5
"2525","2001/01/30",1373.72998,0.7
"2526","2001/01/31",1366.01001,-0.6
"2527","2001/02/01",1373.469971,0.5
"2528","2001/02/02",1349.469971,-1.7
"2544","2001/02/27",1257.939941,-0.8
"2545","2001/02/28",1239.939941,-1.4
"2546","2001/03/01",1241.22998,0.1
"2547","2001/03/02",1234.180054,-0.6
"2566","2001/03/29",1147.949951,-0.5
"2567","2001/03/30",1160.329956,1.1
"2568","2001/04/02",1145.869995,-1.2
"2569","2001/04/03",1106.459961,-3.4
"2586","2001/04/27",1253.050049,1.5
"2587","2001/04/30",1249.459961,-0.3
"2588","2001/05/01",1266.439941,1.4
"2589","2001/05/02",1267.430054,0.1
"2608","2001/05/30",1248.079956,-1.6
"2609","2001/05/31",1255.819946,0.6
"2610","2001/06/01",1260.670044,0.4
"2611","2001/06/04",1267.109985,0.5
"2629","2001/06/28",1226.199951,1.2
"2630","2001/06/29",1224.380005,-0.1
"2631","2001/07/02",1236.719971,1
"2632","2001/07/03",1234.449951,-0.2
"2650","2001/07/30",1204.52002,-0.1
"2651","2001/07/31",1211.22998,0.6
"2652","2001/08/01",1215.930054,0.4
"2653","2001/08/02",1220.75,0.4
"2673","2001/08/30",1129.030029,-1.7
"2674","2001/08/31",1133.579956,0.4
"2675","2001/09/04",1132.939941,-0.1
"2676","2001/09/05",1131.73999,-0.1
"2688","2001/09/27",1018.609985,1.1
"2689","2001/09/28",1040.939941,2.2
"2690","2001/10/01",1038.550049,-0.2
"2691","2001/10/02",1051.329956,1.2
"2711","2001/10/30",1059.790039,-1.7
"2712","2001/10/31",1059.780029,0
"2713","2001/11/01",1084.099976,2.3
"2714","2001/11/02",1087.199951,0.3
"2732","2001/11/29",1140.199951,1
"2733","2001/11/30",1139.449951,-0.1
"2734","2001/12/03",1129.900024,-0.8
"2735","2001/12/04",1144.800049,1.3
"2752","2001/12/28",1161.02002,0.3
"2753","2001/12/31",1148.079956,-1.1
"2754","2002/01/02",1154.670044,0.6
"2755","2002/01/03",1165.27002,0.9
"2773","2002/01/30",1113.569946,1.2
"2774","2002/01/31",1130.199951,1.5
"2775","2002/02/01",1122.199951,-0.7
"2776","2002/02/04",1094.439941,-2.5
"2792","2002/02/27",1109.890015,0
"2793","2002/02/28",1106.72998,-0.3
"2794","2002/03/01",1131.780029,2.3
"2795","2002/03/04",1153.839966,1.9
"2812","2002/03/27",1144.579956,0.5
"2813","2002/03/28",1147.390015,0.2
"2814","2002/04/01",1146.540039,-0.1
"2815","2002/04/02",1136.76001,-0.9
"2834","2002/04/29",1065.449951,-1
"2835","2002/04/30",1076.920044,1.1
"2836","2002/05/01",1086.459961,0.9
"2837","2002/05/02",1084.560059,-0.2
"2856","2002/05/30",1064.660034,-0.3
"2857","2002/05/31",1067.140015,0.2
"2858","2002/06/03",1040.680054,-2.5
"2859","2002/06/04",1040.689941,0
"2876","2002/06/27",990.640015,1.8
"2877","2002/06/28",989.820007,-0.1
"2878","2002/07/01",968.650024,-2.1
"2879","2002/07/02",948.090027,-2.1
"2898","2002/07/30",902.780029,0.4
"2899","2002/07/31",911.619995,1
"2900","2002/08/01",884.659973,-3
"2901","2002/08/02",864.23999,-2.3
"2920","2002/08/29",917.799988,0
"2921","2002/08/30",916.070007,-0.2
"2922","2002/09/03",878.02002,-4.2
"2923","2002/09/04",893.400024,1.8
"2940","2002/09/27",827.369995,-3.2
"2941","2002/09/30",815.280029,-1.5
"2942","2002/10/01",847.909973,4
"2943","2002/10/02",827.909973,-2.4
"2963","2002/10/30",890.710022,1
"2964","2002/10/31",885.76001,-0.6
"2965","2002/11/01",900.960022,1.7
"2966","2002/11/04",908.349976,0.8
"2983","2002/11/27",938.869995,2.8
"2984","2002/11/29",936.309998,-0.3
"2985","2002/12/02",934.530029,-0.2
"2986","2002/12/03",920.75,-1.5
"3004","2002/12/30",879.390015,0.5
"3005","2002/12/31",879.820007,0
"3006","2003/01/02",909.030029,3.3
"3007","2003/01/03",908.590027,0
"3025","2003/01/30",844.609985,-2.3
"3026","2003/01/31",855.700012,1.3
"3027","2003/02/03",860.320007,0.5
"3028","2003/02/04",848.200012,-1.4
"3044","2003/02/27",837.280029,1.2
"3045","2003/02/28",841.150024,0.5
"3046","2003/03/03",834.809998,-0.8
"3047","2003/03/04",821.98999,-1.5
"3065","2003/03/28",863.5,-0.6
"3066","2003/03/31",848.179993,-1.8
"3067","2003/04/01",858.47998,1.2
"3068","2003/04/02",880.900024,2.6
"3086","2003/04/29",917.840027,0.3
"3087","2003/04/30",916.919983,-0.1
"3088","2003/05/01",916.299988,-0.1
"3089","2003/05/02",930.080017,1.5
"3107","2003/05/29",949.640015,-0.4
"3108","2003/05/30",963.590027,1.5
"3109","2003/06/02",967,0.4
"3110","2003/06/03",971.559998,0.5
"3128","2003/06/27",976.219971,-1
"3129","2003/06/30",974.5,-0.2
"3130","2003/07/01",982.320007,0.8
"3131","2003/07/02",993.75,1.2
"3150","2003/07/30",987.48999,-0.2
"3151","2003/07/31",990.309998,0.3
"3152","2003/08/01",980.150024,-1
"3153","2003/08/04",982.820007,0.3
"3171","2003/08/28",1002.840027,0.6
"3172","2003/08/29",1008.01001,0.5
"3173","2003/09/02",1021.98999,1.4
"3174","2003/09/03",1026.27002,0.4
"3192","2003/09/29",1006.580017,1
"3193","2003/09/30",995.969971,-1.1
"3194","2003/10/01",1018.219971,2.2
"3195","2003/10/02",1020.23999,0.2
"3215","2003/10/30",1046.939941,-0.1
"3216","2003/10/31",1050.709961,0.4
"3217","2003/11/03",1059.02002,0.8
"3218","2003/11/04",1053.25,-0.5
"3234","2003/11/26",1058.449951,0.4
"3235","2003/11/28",1058.199951,0
"3236","2003/12/01",1070.119995,1.1
"3237","2003/12/02",1066.619995,-0.3
"3256","2003/12/30",1109.640015,0
"3257","2003/12/31",1111.920044,0.2
"3258","2004/01/02",1108.47998,-0.3
"3259","2004/01/05",1122.219971,1.2
"3276","2004/01/29",1134.109985,0.5
"3277","2004/01/30",1131.130005,-0.3
"3278","2004/02/02",1135.26001,0.4
"3279","2004/02/03",1136.030029,0.1
"3295","2004/02/26",1144.910034,0.1
"3296","2004/02/27",1144.939941,0
"3297","2004/03/01",1155.969971,1
"3298","2004/03/02",1149.099976,-0.6
"3318","2004/03/30",1127,0.4
"3319","2004/03/31",1126.209961,-0.1
"3320","2004/04/01",1132.170044,0.5
"3321","2004/04/02",1141.810059,0.9
"3339","2004/04/29",1113.890015,-0.8
"3340","2004/04/30",1107.300049,-0.6
"3341","2004/05/03",1117.48999,0.9
"3342","2004/05/04",1119.550049,0.2
"3359","2004/05/27",1121.280029,0.6
"3360","2004/05/28",1120.680054,-0.1
"3361","2004/06/01",1121.199951,0
"3362","2004/06/02",1124.98999,0.3
"3380","2004/06/29",1136.199951,0.3
"3381","2004/06/30",1140.839966,0.4
"3382","2004/07/01",1128.939941,-1
"3383","2004/07/02",1125.380005,-0.3
"3401","2004/07/29",1100.430054,0.5
"3402","2004/07/30",1101.719971,0.1
"3403","2004/08/02",1106.619995,0.4
"3404","2004/08/03",1099.689941,-0.6
"3423","2004/08/30",1099.150024,-0.8
"3424","2004/08/31",1104.23999,0.5
"3425","2004/09/01",1105.910034,0.2
"3426","2004/09/02",1118.310059,1.1
"3444","2004/09/29",1114.800049,0.4
"3445","2004/09/30",1114.579956,0
"3446","2004/10/01",1131.5,1.5
"3447","2004/10/04",1135.170044,0.3
"3465","2004/10/28",1127.439941,0.2
"3466","2004/10/29",1130.199951,0.2
"3467","2004/11/01",1130.51001,0
"3468","2004/11/02",1130.560059,0
"3486","2004/11/29",1178.569946,-0.3
"3487","2004/11/30",1173.819946,-0.4
"3488","2004/12/01",1191.369995,1.5
"3489","2004/12/02",1190.329956,-0.1
"3508","2004/12/30",1213.550049,0
"3509","2004/12/31",1211.920044,-0.1
"3510","2005/01/03",1202.079956,-0.8
"3511","2005/01/04",1188.050049,-1.2
"3528","2005/01/28",1171.359985,-0.3
"3529","2005/01/31",1181.27002,0.8
"3530","2005/02/01",1189.410034,0.7
"3531","2005/02/02",1193.189941,0.3
"3547","2005/02/25",1211.369995,0.9
"3548","2005/02/28",1203.599976,-0.6
"3549","2005/03/01",1210.410034,0.6
"3550","2005/03/02",1210.079956,0
"3569","2005/03/30",1181.410034,1.4
"3570","2005/03/31",1180.589966,-0.1
"3571","2005/04/01",1172.920044,-0.6
"3572","2005/04/04",1176.119995,0.3
"3590","2005/04/28",1143.219971,-1.1
"3591","2005/04/29",1156.849976,1.2
"3592","2005/05/02",1162.160034,0.5
"3593","2005/05/03",1161.170044,-0.1
"3611","2005/05/27",1198.780029,0.1
"3612","2005/05/31",1191.5,-0.6
"3613","2005/06/01",1202.219971,0.9
"3614","2005/06/02",1204.290039,0.2
"3633","2005/06/29",1199.849976,-0.1
"3634","2005/06/30",1191.329956,-0.7
"3635","2005/07/01",1194.439941,0.3
"3636","2005/07/05",1204.98999,0.9
"3653","2005/07/28",1243.719971,0.6
"3654","2005/07/29",1234.180054,-0.8
"3655","2005/08/01",1235.349976,0.1
"3656","2005/08/02",1244.119995,0.7
"3676","2005/08/30",1208.410034,-0.3
"3677","2005/08/31",1220.329956,1
"3678","2005/09/01",1221.589966,0.1
"3679","2005/09/02",1218.02002,-0.3
"3697","2005/09/29",1227.680054,0.9
"3698","2005/09/30",1228.810059,0.1
"3699","2005/10/03",1226.699951,-0.2
"3700","2005/10/04",1214.469971,-1
"3718","2005/10/28",1198.410034,1.7
"3719","2005/10/31",1207.01001,0.7
"3720","2005/11/01",1202.76001,-0.4
"3721","2005/11/02",1214.76001,1
"3739","2005/11/29",1257.47998,0
"3740","2005/11/30",1249.47998,-0.6
"3741","2005/12/01",1264.670044,1.2
"3742","2005/12/02",1265.079956,0
"3760","2005/12/29",1254.420044,-0.3
"3761","2005/12/30",1248.290039,-0.5
"3762","2006/01/03",1268.800049,1.6
"3763","2006/01/04",1273.459961,0.4
"3780","2006/01/30",1285.189941,0.1
"3781","2006/01/31",1280.079956,-0.4
"3782","2006/02/01",1282.459961,0.2
"3783","2006/02/02",1270.839966,-0.9
"3799","2006/02/27",1294.119995,0.4
"3800","2006/02/28",1280.660034,-1
"3801","2006/03/01",1291.23999,0.8
"3802","2006/03/02",1289.140015,-0.2
"3822","2006/03/30",1300.25,-0.2
"3823","2006/03/31",1294.869995,-0.4
"3824","2006/04/03",1297.810059,0.2
"3825","2006/04/04",1305.930054,0.6
"3841","2006/04/27",1309.719971,0.3
"3842","2006/04/28",1310.609985,0.1
"3843","2006/05/01",1305.189941,-0.4
"3844","2006/05/02",1313.209961,0.6
"3863","2006/05/30",1259.869995,-1.6
"3864","2006/05/31",1270.089966,0.8
"3865","2006/06/01",1285.709961,1.2
"3866","2006/06/02",1288.219971,0.2
"3885","2006/06/29",1272.869995,2.2
"3886","2006/06/30",1270.199951,-0.2
"3887","2006/07/03",1280.189941,0.8
"3888","2006/07/05",1270.910034,-0.7
"3905","2006/07/28",1278.550049,1.2
"3906","2006/07/31",1276.660034,-0.1
"3907","2006/08/01",1270.920044,-0.4
"3908","2006/08/02",1277.410034,0.5
"3928","2006/08/30",1305.369995,0.1
"3929","2006/08/31",1303.819946,-0.1
"3930","2006/09/01",1311.01001,0.6
"3931","2006/09/05",1313.25,0.2
"3948","2006/09/28",1338.880005,0.2
"3949","2006/09/29",1335.849976,-0.2
"3950","2006/10/02",1331.319946,-0.3
"3951","2006/10/03",1334.109985,0.2
"3970","2006/10/30",1377.930054,0
"3971","2006/10/31",1377.939941,0
"3972","2006/11/01",1367.810059,-0.7
"3973","2006/11/02",1367.339966,0
"3991","2006/11/29",1399.47998,0.9
"3992","2006/11/30",1400.630005,0.1
"3993","2006/12/01",1396.709961,-0.3
"3994","2006/12/04",1409.119995,0.9
"4011","2006/12/28",1424.72998,-0.1
"4012","2006/12/29",1418.300049,-0.5
"4013","2007/01/03",1416.599976,-0.1
"4014","2007/01/04",1418.339966,0.1
"4031","2007/01/30",1428.819946,0.6
"4032","2007/01/31",1438.23999,0.7
"4033","2007/02/01",1445.939941,0.5
"4034","2007/02/02",1448.390015,0.2
"4050","2007/02/27",1399.040039,-3.5
"4051","2007/02/28",1406.819946,0.6
"4052","2007/03/01",1403.170044,-0.3
"4053","2007/03/02",1387.170044,-1.1
"4072","2007/03/29",1422.530029,0.4
"4073","2007/03/30",1420.859985,-0.1
"4074","2007/04/02",1424.550049,0.3
"4075","2007/04/03",1437.77002,0.9
"4092","2007/04/27",1494.069946,0
"4093","2007/04/30",1482.369995,-0.8
"4094","2007/05/01",1486.300049,0.3
"4095","2007/05/02",1495.920044,0.6
"4114","2007/05/30",1530.22998,0.8
"4115","2007/05/31",1530.619995,0
"4116","2007/06/01",1536.339966,0.4
"4117","2007/06/04",1539.180054,0.2
"4135","2007/06/28",1505.709961,0
"4136","2007/06/29",1503.349976,-0.2
"4137","2007/07/02",1519.430054,1.1
"4138","2007/07/03",1524.869995,0.4
"4156","2007/07/30",1473.910034,1
"4157","2007/07/31",1455.27002,-1.3
"4158","2007/08/01",1465.810059,0.7
"4159","2007/08/02",1472.199951,0.4
"4179","2007/08/30",1457.640015,-0.4
"4180","2007/08/31",1473.98999,1.1
"4181","2007/09/04",1489.420044,1
"4182","2007/09/05",1472.290039,-1.2
"4198","2007/09/27",1531.380005,0.4
"4199","2007/09/28",1526.75,-0.3
"4200","2007/10/01",1547.040039,1.3
"4201","2007/10/02",1546.630005,0
"4221","2007/10/30",1531.02002,-0.6
"4222","2007/10/31",1549.380005,1.2
"4223","2007/11/01",1508.439941,-2.6
"4224","2007/11/02",1509.650024,0.1
"4242","2007/11/29",1469.719971,0
"4243","2007/11/30",1481.140015,0.8
"4244","2007/12/03",1472.420044,-0.6
"4245","2007/12/04",1462.790039,-0.7
"4262","2007/12/28",1478.48999,0.2
"4263","2007/12/31",1468.359985,-0.7
"4264","2008/01/02",1447.160034,-1.4
"4265","2008/01/03",1447.160034,0
"4283","2008/01/30",1355.810059,-0.5
"4284","2008/01/31",1378.550049,1.7
"4285","2008/02/01",1395.420044,1.2
"4286","2008/02/04",1380.819946,-1
"4303","2008/02/28",1367.680054,-0.9
"4304","2008/02/29",1330.630005,-2.7
"4305","2008/03/03",1331.339966,0.1
"4306","2008/03/04",1326.75,-0.3
"4323","2008/03/28",1315.219971,-0.8
"4324","2008/03/31",1322.699951,0.6
"4325","2008/04/01",1370.180054,3.6
"4326","2008/04/02",1367.530029,-0.2
"4345","2008/04/29",1390.939941,-0.4
"4346","2008/04/30",1385.589966,-0.4
"4347","2008/05/01",1409.339966,1.7
"4348","2008/05/02",1413.900024,0.3
"4366","2008/05/29",1398.26001,0.5
"4367","2008/05/30",1400.380005,0.2
"4368","2008/06/02",1385.670044,-1.1
"4369","2008/06/03",1377.650024,-0.6
"4387","2008/06/27",1278.380005,-0.4
"4388","2008/06/30",1280,0.1
"4389","2008/07/01",1284.910034,0.4
"4390","2008/07/02",1261.52002,-1.8
"4409","2008/07/30",1284.26001,1.7
"4410","2008/07/31",1267.380005,-1.3
"4411","2008/08/01",1260.310059,-0.6
"4412","2008/08/04",1249.01001,-0.9
"4430","2008/08/28",1300.680054,1.5
"4431","2008/08/29",1282.829956,-1.4
"4432","2008/09/02",1277.579956,-0.4
"4433","2008/09/03",1274.97998,-0.2
"4451","2008/09/29",1106.420044,-8.8
"4452","2008/09/30",1166.359985,5.4
"4453","2008/10/01",1161.060059,-0.5
"4454","2008/10/02",1114.280029,-4
"4474","2008/10/30",954.090027,2.6
"4475","2008/10/31",968.75,1.5
"4476","2008/11/03",966.299988,-0.3
"4477","2008/11/04",1005.75,4.1
"4493","2008/11/26",887.679993,3.5
"4494","2008/11/28",896.23999,1
"4495","2008/12/01",816.210022,-8.9
"4496","2008/12/02",848.809998,4
"4515","2008/12/30",890.640015,2.4
"4516","2008/12/31",903.25,1.4
"4517","2009/01/02",931.799988,3.2
"4518","2009/01/05",927.450012,-0.5
"4535","2009/01/29",845.140015,-3.3
"4536","2009/01/30",825.880005,-2.3
"4537","2009/02/02",825.440002,-0.1
"4538","2009/02/03",838.51001,1.6
"4554","2009/02/26",752.830017,-1.6
"4555","2009/02/27",735.090027,-2.4
"4556","2009/03/02",700.820007,-4.7
"4557","2009/03/03",696.330017,-0.6
"4576","2009/03/30",787.530029,-3.5
"4577","2009/03/31",797.869995,1.3
"4578","2009/04/01",811.080017,1.7
"4579","2009/04/02",834.380005,2.9
"4597","2009/04/29",873.640015,2.2
"4598","2009/04/30",872.809998,-0.1
"4599","2009/05/01",877.52002,0.5
"4600","2009/05/04",907.23999,3.4
"4617","2009/05/28",906.830017,1.5
"4618","2009/05/29",919.140015,1.4
