"","Dates","Daily.Returns","X200.MA","Close","X200.D.MA.Price","X50.D.MA.Price","X100.D.MA.Price"
"3488","01/12/2004",0.015,0.0614,1191.369995,1122.403,1138.628206,1119.664701
"3492","07/12/2004",-0.011,0.0479,1177.069946,1123.218,1144.664004,1122.819402
"3496","13/12/2004",0.009,0.0664,1198.680054,1124.061,1150.547202,1126.142201
"3500","17/12/2004",-0.007,0.0614,1194.199951,1125.11,1155.903,1130.632703
"3504","23/12/2004",0,0.0746,1210.130005,1126.132,1161.999998,1134.629501
"3508","30/12/2004",0,0.0758,1213.550049,1128.064,1170.057598,1139.620002
"3549","01/03/2005",0.006,0.0596,1210.410034,1142.367,1193.913198,1174.2965
"3553","07/03/2005",0.003,0.0703,1225.310059,1144.794,1195.0246,1177.634999
"3557","11/03/2005",-0.008,0.046,1200.079956,1147.264,1195.481401,1181.7752
"3561","17/03/2005",0.002,0.036,1190.209961,1148.878,1194.515999,1185.428499
"3565","23/03/2005",0.001,0.0195,1172.530029,1150.128,1194.305598,1188.511698
"3569","30/03/2005",0.014,0.0266,1181.410034,1150.794,1193.209602,1190.160499
"3614","02/06/2005",0.002,0.0334,1204.290039,1165.339,1172.325798,1183.460498
"3618","08/06/2005",-0.002,0.0233,1194.670044,1167.482,1174.428599,1183.94
"3622","14/06/2005",0.003,0.0295,1203.910034,1169.445,1176.313599,1184.459501
"3626","20/06/2005",-0.001,0.038,1216.099976,1171.552,1178.427397,1186.089199
"3630","24/06/2005",-0.008,0.0155,1191.569946,1173.426,1180.834597,1187.519899
"3634","30/06/2005",-0.007,0.014,1191.329956,1174.862,1184.439592,1187.601497
"3679","02/09/2005",-0.003,0.0185,1218.02002,1195.846,1220.005593,1200.150696
"3683","09/09/2005",0.008,0.0373,1241.47998,1196.877,1222.703198,1203.100696
"3687","15/09/2005",0,0.0248,1227.72998,1197.98,1225.699001,1206.481196
"3691","21/09/2005",-0.009,0.0095,1210.199951,1198.836,1227.576804,1209.525897
"3695","27/09/2005",0,0.0135,1215.660034,1199.418,1226.693203,1211.524996
"3744","06/12/2005",0.001,0.0484,1263.699951,1205.396,1218.25,1222.594502
"3748","12/12/2005",0.001,0.0446,1260.430054,1206.645,1221.458396,1223.821301
"3752","16/12/2005",-0.003,0.0493,1267.319946,1207.83,1225.561797,1225.3276
"3756","22/12/2005",0.004,0.0492,1268.119995,1208.709,1231.362998,1226.3237
"3760","29/12/2005",-0.003,0.0368,1254.420044,1209.896,1237.769001,1227.3242
"3801","01/03/2006",0.008,0.0482,1291.23999,1231.861,1274.110007,1249.090403
"3805","07/03/2006",-0.002,0.0338,1275.880005,1234.195,1275.871409,1252.838003
"3809","13/03/2006",0.002,0.039,1284.130005,1235.894,1276.909206,1256.658403
"3813","17/03/2006",0.001,0.056,1307.25,1237.954,1280.114802,1261.140002
"3817","23/03/2006",-0.003,0.0497,1301.670044,1240.027,1281.956003,1265.617102
"3821","29/03/2006",0.007,0.049,1302.890015,1242.069,1282.794402,1269.740901
"3866","02/06/2006",0.002,0.023,1288.219971,1259.216,1296.193198,1288.925701
"3870","08/06/2006",0.001,-0.0018,1257.930054,1260.192,1293.437998,1288.06
"3874","14/06/2006",0.005,-0.0244,1230.040039,1260.742,1289.040398,1286.438498
"3878","20/06/2006",0,-0.0169,1240.119995,1261.401,1284.110996,1285.6487
"3882","26/06/2006",0.005,-0.0089,1250.560059,1261.766,1280.423196,1284.244701
"3886","30/06/2006",-0.002,0.0064,1270.199951,1262.085,1276.762595,1283.507501
"3931","05/09/2006",0.002,0.0282,1313.25,1277.19,1272.869402,1277.082499
"3935","11/09/2006",0,0.0166,1299.540039,1278.337,1277.393203,1277.4485
"3939","15/09/2006",0.003,0.0315,1319.660034,1279.309,1280.447605,1277.5096
"3943","21/09/2006",-0.005,0.0293,1318.030029,1280.543,1284.534209,1278.071401
"3947","27/09/2006",0,0.0427,1336.589966,1281.826,1291.013411,1278.639003
"3996","06/12/2006",-0.001,0.0809,1412.900024,1307.16,1374.477791,1331.727001
"4000","12/12/2006",-0.001,0.0779,1411.560059,1309.555,1380.385794,1338.354801
"4004","18/12/2006",-0.003,0.084,1422.47998,1312.2,1386.555796,1344.7435
"4008","22/12/2006",-0.005,0.0727,1410.76001,1315.125,1392.280598,1350.7488
"4012","29/12/2006",-0.005,0.0764,1418.300049,1317.691,1396.633997,1356.412999
"4053","02/03/2007",-0.011,0.0321,1387.170044,1344.006,1431.039402,1408.058899
"4057","08/03/2007",0.007,0.0414,1401.890015,1346.156,1428.039802,1409.476699
"4061","14/03/2007",0.007,0.0284,1387.170044,1348.881,1426.369399,1410.894899
"4065","20/03/2007",0.006,0.0441,1410.939941,1351.308,1424.179202,1411.925399
"4069","26/03/2007",0.001,0.0614,1437.5,1354.376,1425.521604,1413.8347
"4073","30/03/2007",-0.001,0.0464,1420.859985,1357.886,1425.297605,1415.883199
"4118","05/06/2007",-0.005,0.0861,1530.949951,1409.552,1483.123599,1454.110001
"4122","11/06/2007",0.001,0.0674,1509.119995,1413.822,1489.668999,1457.564202
"4126","15/06/2007",0.007,0.081,1532.910034,1418.111,1496.369998,1460.867402
"4130","21/06/2007",0.006,0.07,1522.189941,1422.587,1503.057397,1464.830402
"4134","27/06/2007",0.009,0.0559,1506.339966,1426.572,1507.207998,1467.648003
"4183","06/09/2007",0.004,0.0132,1478.550049,1459.353,1487.2198,1496.968298
"4187","12/09/2007",0,0.0075,1471.560059,1460.608,1484.159802,1496.6908
"4191","18/09/2007",0.029,0.0393,1519.780029,1462.311,1480.485203,1496.443799
"4195","24/09/2007",-0.005,0.0362,1517.72998,1464.748,1480.182805,1497.807
"4199","28/09/2007",-0.003,0.0407,1526.75,1466.983,1478.066404,1498.590299
"4244","03/12/2007",-0.006,-0.0078,1472.420044,1483.951,1505.749597,1493.185701
"4248","07/12/2007",-0.002,0.0136,1504.660034,1484.442,1502.578599,1490.470402
"4252","13/12/2007",0.001,0.0017,1488.410034,1485.835,1499.239797,1488.569802
"4256","19/12/2007",-0.001,-0.0231,1453,1487.321,1492.5326,1487.434802
"4260","26/12/2007",0.001,0.006,1497.660034,1488.775,1485.536597,1487.703201
"4305","03/03/2008",0.001,-0.0948,1331.339966,1470.715,1386.425601,1440.4551
"4309","07/03/2008",-0.008,-0.1183,1293.369995,1466.822,1375.296999,1431.070299
"4313","13/03/2008",0.005,-0.1005,1315.47998,1462.455,1360.2428,1421.129099
"4317","19/03/2008",-0.024,-0.1094,1298.420044,1457.933,1348.975798,1412.5724
"4321","26/03/2008",-0.009,-0.0778,1341.130005,1454.196,1342.8752,1404.815
"4370","04/06/2008",0,-0.0335,1377.199951,1424.918,1380.7802,1362.5011
"4374","10/06/2008",-0.002,-0.0457,1358.439941,1423.423,1384.152002,1361.352501
"4378","16/06/2008",0,-0.043,1360.140015,1421.187,1383.434199,1361.869402
"4382","20/06/2008",-0.019,-0.071,1317.930054,1418.721,1382.008999,1362.034104
"4386","26/06/2008",-0.029,-0.0937,1283.150024,1415.802,1380.3302,1359.835203
"4435","05/09/2008",0.004,-0.0835,1242.310059,1355.531,1270.499792,1325.539597
"4439","11/09/2008",0.014,-0.0759,1249.050049,1351.712,1266.562795,1320.655798
"4443","17/09/2008",-0.047,-0.1417,1156.390015,1347.377,1263.470991,1314.397698
"4447","23/09/2008",-0.016,-0.1146,1188.219971,1341.995,1259.746992,1306.940999
"4451","29/09/2008",-0.088,-0.1718,1106.420044,1335.95,1256.699993,1298.416499
"4496","02/12/2008",0.04,-0.3109,848.809998,1231.824,963.0562037,1111.725598
"4500","08/12/2008",0.038,-0.2556,909.700012,1222.006,936.0658033,1096.853397
"4504","12/12/2008",0.007,-0.2744,879.72998,1212.358,914.5476013,1081.985397
"4508","18/12/2008",-0.021,-0.2645,885.280029,1203.576,900.5330005,1067.375797
"4512","24/12/2008",0.006,-0.2736,868.150024,1195.157,894.7434021,1051.703797
"4516","31/12/2008",0.014,-0.2389,903.25,1186.717,888.907002,1035.822398
"4557","03/03/2009",-0.006,-0.3535,696.330017,1076.994,842.5656006,872.4674005
"4561","09/03/2009",-0.01,-0.3632,676.530029,1062.425,827.0840002,862.3156012
"4565","13/03/2009",0.008,-0.2788,756.549988,1049.034,814.9780005,852.4416009
"4569","19/03/2009",-0.013,-0.2436,784.039978,1036.573,803.5733996,845.4929004
"4573","25/03/2009",0.01,-0.2059,813.880005,1024.883,794.3771985,841.5659998
"4577","31/03/2009",0.013,-0.2133,797.869995,1014.157,790.8131994,835.8757995
"4622","04/06/2009",0.011,0.0207,942.460022,923.318,870.6585987,833.3601984
"4626","10/06/2009",-0.003,0.0245,939.150024,916.651,880.5650001,836.2511994
"4630","16/06/2009",-0.013,0.0023,911.969971,909.86,891.0271998,840.3977002
"4634","22/06/2009",-0.031,-0.0105,893.039978,902.491,897.8990003,843.6031995
"4638","26/06/2009",-0.001,0.0259,918.900024,895.68,901.9088001,845.9910987
"4687","04/09/2009",0.013,0.153,1016.400024,881.537,969.4805981,935.012699
"4691","11/09/2009",-0.001,0.1768,1042.72998,886.043,978.1523987,942.0121997
"4695","17/09/2009",-0.003,0.1977,1065.48999,889.645,990.4315979,950.0289997
"4699","23/09/2009",-0.01,0.1865,1060.869995,894.09,1004.9854,958.1389008
"4703","29/09/2009",-0.002,0.182,1060.609985,897.317,1014.9728,964.2481006
"4748","02/12/2009",0,0.1733,1109.23999,945.421,1075.343999,1038.458599
"4752","08/12/2009",-0.01,0.1469,1091.939941,952.109,1079.157998,1045.839399
"4756","14/12/2009",0.007,0.1618,1114.109985,958.962,1082.880598,1051.804298
"4760","18/12/2009",0.006,0.1399,1102.469971,967.136,1087.867202,1056.903799
"4764","24/12/2009",0.005,0.1549,1126.47998,975.407,1091.242805,1061.934999
"4768","31/12/2009",-0.01,0.1347,1115.099976,982.745,1093.897002,1066.844499
"4809","03/03/2010",0,0.0806,1118.790039,1035.328,1108.985996,1098.041599
"4813","09/03/2010",0.002,0.0967,1140.449951,1039.902,1110.752795,1100.5238
"4817","15/03/2010",0,0.101,1150.51001,1044.94,1112.457595,1102.892198
"4821","19/03/2010",-0.005,0.1051,1159.900024,1049.582,1115.077192,1105.679496
"4825","25/03/2010",-0.002,0.1058,1165.72998,1054.153,1117.013396,1109.829597
"4829","31/03/2010",-0.003,0.1046,1169.430054,1058.684,1119.261794,1114.711797
"4874","04/06/2010",-0.034,-0.0374,1064.880005,1106.259,1158.655198,1137.626897
"4878","10/06/2010",0.03,-0.0185,1086.839966,1107.326,1149.850798,1134.183896
"4882","16/06/2010",-0.001,0.0053,1114.609985,1108.679,1143.351997,1132.609095
"4886","22/06/2010",-0.016,-0.0139,1095.310059,1110.774,1137.5252,1133.440594
"4890","28/06/2010",-0.002,-0.0337,1074.569946,1112.071,1127.959199,1133.309496
"4939","07/09/2010",-0.011,-0.0213,1091.839966,1115.615,1081.885199,1106.271299
"4943","13/09/2010",0.011,0.0056,1121.900024,1115.626,1085.508402,1102.230799
"4947","17/09/2010",0.001,0.0085,1125.589966,1116.072,1092.5974,1098.718698
"4951","23/09/2010",-0.008,0.0073,1124.829956,1116.664,1096.998601,1096.456899
"4955","29/09/2010",-0.003,0.0244,1144.72998,1117.514,1101.7102,1095.391699
"5000","02/12/2010",0.013,0.0769,1221.530029,1134.265,1179.391194,1137.805497
"5004","08/12/2010",0.004,0.0806,1228.280029,1136.638,1186.254592,1143.217897
"5008","14/12/2010",0.001,0.0899,1241.589966,1139.206,1193.499995,1149.459397
"5012","20/12/2010",0.003,0.0925,1247.079956,1141.53,1200.455793,1154.718997
"5016","27/12/2010",0.001,0.0995,1257.540039,1143.743,1207.234792,1160.397396
"5020","31/12/2010",0,0.0976,1257.640015,1145.781,1213.896794,1165.709696
"5061","02/03/2011",0.002,0.1179,1308.439941,1170.437,1292.249797,1245.494296
"5065","08/03/2011",0.009,0.1254,1321.819946,1174.568,1297.574998,1251.618195
"5069","14/03/2011",-0.006,0.0993,1296.390015,1179.258,1301.747595,1256.902395
"5073","18/03/2011",0.004,0.0813,1279.209961,1182.994,1302.772996,1260.916895
"5077","24/03/2011",0.009,0.1029,1309.660034,1187.438,1304.317795,1265.230995
"5081","30/03/2011",0.007,0.1142,1328.26001,1192.084,1306.630796,1270.170195
"5126","03/06/2011",-0.01,0.0426,1300.160034,1247.011,1331.336599,1317.549297
"5130","09/06/2011",0.007,0.0302,1289,1251.221,1329.729399,1317.918098
"5134","15/06/2011",-0.017,0.0077,1265.420044,1255.724,1326.004199,1317.610497
"5138","21/06/2011",0.013,0.0284,1295.52002,1259.796,1320.971599,1316.819697
"5142","27/06/2011",0.009,0.0132,1280.099976,1263.472,1318.039797,1316.469897
"5191","06/09/2011",-0.007,-0.0925,1165.23999,1284.002,1252.347603,1285.653301
"5195","12/09/2011",0.007,-0.0946,1162.27002,1283.647,1243.374802,1280.155699
"5199","16/09/2011",0.006,-0.0526,1216.01001,1283.532,1231.285203,1274.3289
"5203","22/09/2011",-0.032,-0.1197,1129.560059,1283.099,1220.461201,1267.9485
"5207","28/09/2011",-0.021,-0.1018,1151.060059,1281.494,1207.584204,1259.989102
"5252","01/12/2011",-0.002,-0.0168,1244.579956,1265.887,1206.404207,1214.901504
"5256","07/12/2011",0.002,-0.0025,1261.01001,1264.233,1214.578403,1212.381903
"5260","13/12/2011",-0.009,-0.0294,1225.72998,1262.865,1221.953599,1209.234003
"5264","19/12/2011",-0.012,-0.0441,1205.349976,1260.895,1228.769199,1204.770802
"5268","23/12/2011",0.009,0.0047,1265.329956,1259.382,1232.593799,1202.875101
"5272","30/12/2011",-0.004,-0.001,1257.599976,1258.902,1236.3726,1205.516803
"5313","01/03/2012",0.006,0.0921,1374.089966,1258.235,1310.527207,1269.101303
"5317","07/03/2012",0.007,0.0746,1352.630005,1258.778,1321.354805,1276.506802
"5321","13/03/2012",0.018,0.1082,1395.949951,1259.644,1329.876804,1282.748302
"5325","19/03/2012",0.004,0.1179,1409.75,1261.046,1340.317202,1289.829302
"5329","23/03/2012",0.003,0.106,1397.109985,1263.18,1349.903003,1295.840403
"5333","29/03/2012",-0.002,0.1086,1403.280029,1265.781,1359.121804,1302.211503
"5378","04/06/2012",0,-0.0049,1278.180054,1284.533,1367.016592,1357.452797
"5382","08/06/2012",0.008,0.0296,1325.660034,1287.592,1358.514192,1357.699298
"5386","14/06/2012",0.011,0.0298,1329.099976,1290.58,1351.260593,1358.119899
"5390","20/06/2012",-0.002,0.0483,1355.689941,1293.222,1346.902195,1359.115497
"5394","26/06/2012",0.005,0.0183,1319.98999,1296.253,1343.798396,1359.756497
"5443","05/09/2012",-0.001,0.0482,1403.439941,1338.858,1377.926201,1361.427699
"5447","11/09/2012",0.003,0.0672,1433.560059,1343.307,1386.0854,1363.295798
"5451","17/09/2012",-0.003,0.0834,1461.189941,1348.745,1392.617603,1366.311
"5455","21/09/2012",0,0.0792,1460.150024,1352.99,1401.652803,1368.8098
"5459","27/09/2012",0.01,0.0665,1447.150024,1356.905,1409.3148,1371.0413
"5504","04/12/2012",-0.002,0.0159,1407.050049,1385.074,1420.568,1409.922301
"5508","10/12/2012",0,0.0234,1418.550049,1386.12,1417.156999,1412.539401
"5512","14/12/2012",-0.004,0.019,1413.579956,1387.247,1415.730798,1414.726399
"5516","20/12/2012",0.005,0.0397,1443.689941,1388.511,1413.880198,1418.124398
"5520","27/12/2012",-0.001,0.0203,1418.099976,1389.948,1413.031597,1420.068599
"5565","05/03/2013",0.01,0.0896,1539.790039,1413.223,1485.3696,1449.876099
"5569","11/03/2013",0.003,0.0976,1556.219971,1417.829,1494.1772,1453.734498
"5573","15/03/2013",-0.002,0.0971,1560.699951,1422.6,1505.3752,1458.434198
"5577","21/03/2013",-0.008,0.083,1545.800049,1427.33,1512.769197,1462.780098
"5581","27/03/2013",-0.001,0.0909,1562.849976,1432.636,1519.885396,1468.493899
"5630","06/06/2013",0.008,0.0867,1622.560059,1493.145,1604.169995,1561.110496
"5634","12/06/2013",-0.008,0.0768,1612.52002,1497.495,1609.707998,1567.582296
"5638","18/06/2013",0.008,0.0998,1651.810059,1501.882,1615.256999,1573.185896
"5642","24/06/2013",-0.012,0.0445,1573.089966,1506.06,1618.228604,1577.741498
"5646","28/06/2013",-0.004,0.0641,1606.280029,1509.556,1620.424404,1581.427798
"5691","03/09/2013",0.004,0.0497,1639.77002,1562.179,1660.584197,1639.4158
"5695","09/09/2013",0.01,0.0662,1671.709961,1567.916,1665.509995,1642.3553
"5699","13/09/2013",0.003,0.0727,1687.98999,1573.586,1671.104597,1647.5241
"5703","19/09/2013",-0.002,0.0905,1722.339966,1579.46,1676.620398,1652.433099
"5707","25/09/2013",-0.003,0.0677,1692.77002,1585.419,1679.443999,1657.033501
"5756","04/12/2013",-0.001,0.0846,1792.810059,1652.967,1745.79281,1712.469204
"5760","10/12/2013",-0.003,0.0867,1802.619995,1658.834,1754.006609,1717.091804
"5764","16/12/2013",0.006,0.0735,1786.540039,1664.283,1761.738206,1720.788904
"5768","20/12/2013",0.005,0.0892,1818.319946,1669.469,1771.924607,1725.134905
"5772","27/12/2013",0,0.0993,1841.400024,1675.005,1782.278403,1730.257303
"5817","05/03/2014",0,0.0837,1873.810059,1729.156,1823.497395,1796.179001
"5821","11/03/2014",-0.005,0.0774,1867.630005,1733.395,1827.833801,1803.616503
"5825","17/03/2014",0.01,0.0698,1858.829956,1737.469,1828.8428,1808.877001
"5829","21/03/2014",-0.003,0.0715,1866.52002,1742.004,1831.56,1813.5378
"5833","27/03/2014",-0.002,0.0586,1849.040039,1746.626,1833.659002,1817.3878
"5878","02/06/2014",0.001,0.0719,1924.969971,1795.788,1874.555801,1852.7166
"5882","06/06/2014",0.005,0.0823,1949.439941,1801.132,1879.675,1856.3334
"5886","12/06/2014",-0.007,0.0681,1930.109985,1807.031,1886.951599,1860.7638
"5890","18/06/2014",0.008,0.0794,1956.97998,1812.96,1891.266799,1864.666001
"5894","24/06/2014",-0.006,0.0719,1949.97998,1819.265,1900.060398,1871.6999
"5898","30/06/2014",0,0.0742,1960.22998,1824.903,1909.582397,1879.238101
"5943","03/09/2014",-0.001,0.0643,2000.719971,1879.925,1967.063594,1932.266695
"5947","09/09/2014",-0.007,0.0554,1988.439941,1884.122,1970.629194,1939.119297
"5951","15/09/2014",-0.001,0.0509,1984.130005,1888.035,1972.588994,1944.004495
"5955","19/09/2014",0,0.0626,2010.400024,1891.932,1974.517195,1949.096593
"5959","25/09/2014",-0.016,0.0369,1965.98999,1895.971,1976.579797,1953.683194
"6008","04/12/2014",-0.001,0.0684,2071.919922,1939.209,1989.914605,1982.997001
"6012","10/12/2014",-0.016,0.0424,2026.140015,1943.702,1996.764207,1986.759303
"6016","16/12/2014",-0.008,0.0132,1972.73999,1946.946,2001.182402,1987.972102
"6020","22/12/2014",0.004,0.0659,2078.540039,1950.02,2007.592202,1990.174502
"6024","29/12/2014",0.001,0.0697,2090.570068,1954.38,2023.798201,1996.3379
"6069","05/03/2015",0.001,0.0518,2101.040039,1997.491,2061.616401,2033.179902
"6073","11/03/2015",-0.002,0.0195,2040.23999,2001.278,2061.269407,2040.271003
"6077","17/03/2015",-0.003,0.0349,2074.280029,2004.271,2059.713201,2047.518601
"6081","23/03/2015",-0.002,0.0482,2104.419922,2007.624,2064.990405,2053.392203
"6085","27/03/2015",0.002,0.0253,2061.02002,2010.229,2068.088003,2057.287101
"6130","02/06/2015",-0.001,0.0328,2109.600098,2042.563,2099.581797,2081.4641
"6134","08/06/2015",-0.006,0.0166,2079.280029,2045.307,2100.527202,2083.976404
"6138","12/06/2015",-0.007,0.0228,2094.110107,2047.348,2102.571006,2087.247402
"6142","18/06/2015",0.01,0.0351,2121.23999,2049.223,2104.404404,2089.303702
"6146","24/06/2015",-0.007,0.0278,2108.580078,2051.573,2106.618608,2092.986001
"6150","30/06/2015",0.003,0.0047,2063.110107,2053.508,2106.246211,2095.612401
"6195","02/09/2015",0.018,-0.0605,1948.859985,2074.456,2067.590603,2086.786905
"6199","09/09/2015",-0.014,-0.0629,1942.040039,2072.5,2054.671401,2080.694207
"6203","15/09/2015",0.013,-0.0445,1978.089966,2070.279,2045.340605,2074.91001
"6207","21/09/2015",0.005,-0.0491,1966.969971,2068.585,2038.811401,2069.583312
"6211","25/09/2015",0,-0.0652,1931.339966,2066.079,2026.574199,2063.23901
"6260","04/12/2015",0.021,0.013,2091.689941,2064.852,2038.788796,2034.433097
"6264","10/12/2015",0.002,-0.0057,2052.22998,2064.005,2051.799399,2032.366699
"6268","16/12/2015",0.015,0.0051,2073.070068,2062.453,2058.753198,2029.514602
"6272","22/12/2015",0.009,-0.0109,2038.969971,2061.41,2061.505,2027.150305
"6276","29/12/2015",0.011,0.0082,2078.360107,2061.495,2065.135002,2025.407402
"6321","04/03/2016",0.003,-0.0117,1999.98999,2023.697,1938.549797,1999.964799
"6325","10/03/2016",0,-0.0155,1989.569946,2020.995,1934.247197,1999.3647
"6329","16/03/2016",0.006,0.0041,2027.219971,2018.953,1930.350593,1998.623999
"6333","22/03/2016",-0.001,0.0159,2049.800049,2017.641,1934.475996,1998.136102
"6337","29/03/2016",0.009,0.019,2055.01001,2016.652,1944.172793,1996.481002
"6382","01/06/2016",0.001,0.0439,2099.330078,2010.975,2067.052,1999.678896
"6386","07/06/2016",0.001,0.0502,2112.129883,2011.189,2071.833596,2006.535494
"6390","13/06/2016",-0.008,0.032,2079.060059,2014.565,2076.374597,2015.225696
"6394","17/06/2016",-0.003,0.0271,2071.219971,2016.639,2077.437202,2023.141398
"6398","23/06/2016",0.013,0.0464,2113.320068,2019.607,2080.149199,2030.227797
"6402","29/06/2016",0.017,0.0244,2070.77002,2021.42,2077.091001,2035.397498
"6447","01/09/2016",0,0.0567,2170.860107,2054.379,2150.051392,2114.862996
"6451","08/09/2016",-0.002,0.0606,2181.300049,2056.654,2159.786589,2119.021296
"6455","14/09/2016",-0.001,0.033,2125.77002,2057.861,2165.516592,2121.082798
"6459","20/09/2016",0,0.0393,2139.76001,2058.854,2168.221196,2122.933699
"6463","26/09/2016",-0.009,0.0415,2146.100098,2060.668,2169.006602,2126.522097
"6467","30/09/2016",0.008,0.051,2168.27002,2063.14,2168.268604,2130.631599
"6512","05/12/2016",0.006,0.0445,2204.709961,2110.714,2156.253184,2162.620493
"6516","09/12/2016",0.006,0.0676,2259.530029,2116.495,2161.500981,2165.103694
"6520","15/12/2016",0.004,0.0658,2262.030029,2122.477,2169.708984,2168.701594
"6524","21/12/2016",-0.002,0.0645,2265.179932,2127.872,2178.018789,2172.441294
"6528","28/12/2016",-0.008,0.0548,2249.919922,2133.063,2188.366187,2176.470291
"6573","06/03/2017",-0.003,0.086,2375.310059,2187.185,2299.983994,2237.930391
"6577","10/03/2017",0.003,0.0816,2372.600098,2193.602,2308.201196,2246.924692
"6581","16/03/2017",-0.002,0.0828,2381.379883,2199.307,2317.998999,2256.458792
"6585","22/03/2017",0.002,0.0652,2348.449951,2204.69,2326.050195,2265.46009
"6589","28/03/2017",0.007,0.0676,2358.570068,2209.309,2331.978599,2274.009592
"6634","01/06/2017",0.008,0.0728,2430.060059,2265.131,2373.97938,2349.344387
"6638","07/06/2017",0.002,0.0718,2433.139893,2270.116,2381.022388,2355.788992
"6642","13/06/2017",0.005,0.0726,2440.350098,2275.112,2386.997183,2362.221294
"6646","19/06/2017",0.008,0.0759,2453.459961,2280.342,2393.181382,2368.857393
"6650","23/06/2017",0.002,0.0668,2438.300049,2285.603,2399.913984,2374.756995
"6654","29/06/2017",-0.009,0.0562,2419.699951,2291.019,2407.361187,2380.764492
"6699","01/09/2017",0.002,0.049,2476.550049,2360.924,2451.804609,2425.052097
"6703","08/09/2017",-0.001,0.0401,2461.429932,2366.618,2454.480415,2429.935801
"6707","14/09/2017",-0.001,0.052,2495.620117,2372.244,2459.112022,2435.530803
"6711","20/09/2017",0.001,0.0546,2508.23999,2378.294,2465.341426,2440.204705
"6715","26/09/2017",0,0.0473,2496.840088,2384.081,2469.978223,2444.763606
"6764","05/12/2017",-0.004,0.0708,2629.570068,2455.676,2570.62561,2519.928018
"6768","11/12/2017",0.003,0.0808,2659.98999,2461.116,2581.36001,2526.872717
"6772","15/12/2017",0.009,0.0847,2675.810059,2466.754,2591.723208,2534.332021
"6776","21/12/2017",0.002,0.0856,2684.570068,2472.938,2602.321606,2542.642419
"6780","28/12/2017",0.002,0.084,2687.540039,2479.212,2612.602617,2550.923621
"6825","06/03/2018",0.003,0.0643,2728.120117,2563.299,2736.902402,2668.325903
"6829","12/03/2018",-0.001,0.0827,2783.02002,2570.501,2741.958403,2676.030708
"6833","16/03/2018",0.002,0.0677,2752.01001,2577.486,2748.0696,2684.078508
"6837","22/03/2018",-0.025,0.0233,2643.689941,2583.37,2747.387397,2690.351809
"6841","28/03/2018",-0.003,0.0069,2605,2587.246,2736.383398,2692.48741
