,Date,Closing.Price.0,MA.Price,,Price.1,Price.2,Price.3,Price.4,Price.5,Price.6,Price.7,Price.8,Price.9,Price.10,,Return.1,Return.2,Return.3,Return.4,Return.5,Return.6,Return.7,Return.8,Return.9,Return.10
1,0091-07-03,373.329987,375.6134997,,374.079987,377.940002,376.109985,375.73999,376.970001,380.25,382.390015,381.540009,381.179993,385.369995,,0.002008947,0.012348365,0.00744649,0.006455423,0.009750125,0.018535915,0.02426815,0.021991327,0.02102699,0.032250311
2,0091-08-19,376.470001,380.0960989,,379.429993,390.589996,391.329987,394.170013,393.850006,393.059998,396.640015,396.470001,395.429993,392.149994,,0.007862491,0.037506295,0.039471899,0.04701573,0.04616571,0.044067248,0.053576683,0.053125083,0.050362557,0.041650046
3,0091-10-04,381.25,383.0617993,,379.5,380.670013,376.799988,380.549988,381.450012,386.470001,391.01001,392.799988,391.920013,392.5,,-0.004590164,-0.001521277,-0.011672163,-0.001836097,0.000524622,0.013691806,0.025600026,0.03029505,0.027986919,0.029508197
4,0091-11-15,382.619995,386.2260995,,385.23999,379.420013,378.529999,380.059998,376.140015,375.339996,377.959991,376.549988,375.220001,381.399994,,0.006847512,-0.008363342,-0.010689447,-0.006690704,-0.016935811,-0.019026708,-0.012179196,-0.015864323,-0.019340322,-0.003188545
5,0092-04-02,400.5,402.8156994,,401.549988,405.589996,398.059998,394.5,400.640015,404.290009,406.079987,412.390015,416.279999,416.040009,,0.002621693,0.012709104,-0.00609239,-0.014981273,0.0003496,0.009463194,0.013932552,0.029687928,0.039400747,0.038801521
6,0092-05-15,410.089996,411.0879999,,412.809998,416.369995,415.390015,412.600006,414.019989,411.410004,412.170013,416.73999,415.350006,417.299988,,0.006632695,0.015313709,0.012924039,0.006120632,0.009583245,0.003218825,0.005072099,0.016215938,0.012826477,0.017581487
7,0092-06-09,410.059998,411.1324002,,407.25,409.049988,409.76001,410.290009,408.320007,402.26001,400.959991,403.670013,403.399994,404.040009,,-0.006852651,-0.002463079,-0.000731571,0.00056092,-0.00424326,-0.019021577,-0.022191892,-0.015583049,-0.016241535,-0.014680752
8,0092-07-07,409.160004,409.832901,,410.279999,414.230011,414.619995,414.869995,417.679993,417.100006,417.540009,415.619995,413.75,413.76001,,0.002737303,0.012391258,0.013344391,0.013955399,0.020823123,0.019405616,0.020480997,0.015788422,0.011218096,0.01124256
9,0092-08-24,410.720001,412.6324012,,411.609985,413.51001,413.529999,414.839996,414.029999,416.070007,417.980011,417.980011,417.079987,414.440002,,0.002166887,0.006792971,0.006841639,0.010031153,0.008059013,0.01302592,0.0176763,0.0176763,0.015484968,0.009057268
10,0092-09-25,414.350006,414.7894009,,416.619995,416.799988,417.799988,416.290009,410.470001,407.570007,407.179993,404.25,407.75,402.660004,,0.005478434,0.005912832,0.008326251,0.004682039,-0.009364076,-0.016362976,-0.017304243,-0.024375542,-0.015928577,-0.028212868
11,0092-10-23,414.100006,414.1150009,,418.160004,418.48999,420.130005,420.859985,418.679993,422.75,419.920013,417.109985,418.339996,417.579987,,0.00980439,0.010601265,0.014561697,0.016324508,0.011060099,0.020888659,0.014054593,0.007268725,0.010239048,0.008403721
12,0093-04-22,439.459991,441.3558994,,437.029999,433.540009,438.01001,438.019989,438.890015,440.190002,442.459991,444.049988,444.519989,443.26001,,-0.005529495,-0.013471037,-0.003299461,-0.003276753,-0.001296992,0.001661155,0.00682656,0.01044463,0.011514127,0.008647019
13,0093-05-13,439.230011,442.5645987,,439.559998,440.369995,440.320007,447.570007,450.589996,445.839996,448,448.850006,453.440002,452.410004,,0.000751285,0.002595415,0.002481606,0.018987764,0.025863408,0.015049029,0.019966734,0.021901953,0.032352049,0.030007041
14,0093-06-18,443.679993,445.4199988,,446.220001,445.929993,443.190002,446.619995,447.600006,451.850006,450.690002,450.529999,449.019989,445.839996,,0.005724865,0.005071223,-0.001104379,0.006626402,0.008835226,0.018414202,0.015799696,0.015439069,0.012035693,0.00486838
15,0093-07-06,441.429993,445.8372989,,442.829987,448.640015,448.109985,448.980011,448.089996,450.079987,449.220001,445.75,446.029999,447.309998,,0.003171497,0.016333331,0.015132619,0.017103546,0.015087337,0.019595393,0.01764721,0.009786392,0.010420692,0.013320357
16,0093-07-22,444.51001,446.7894989,,447.100006,449.089996,448.23999,447.190002,450.23999,448.130005,450.149994,449.269989,448.540009,448.130005,,0.005826631,0.010303449,0.008391217,0.006029093,0.012890553,0.008143787,0.012688092,0.010708373,0.00906616,0.008143787
17,0094-02-24,464.26001,467.4751993,,466.070007,467.140015,464.440002,464.809998,463.01001,464.73999,466.910004,465.880005,467.059998,463.899994,,0.003898671,0.006203431,0.000387697,0.001184655,-0.002692457,0.00103386,0.005707995,0.003489413,0.006031077,-0.000775462
18,0094-03-24,464.350006,468.0322007,,460.579987,460,452.480011,445.549988,445.769989,438.920013,448.290009,448.049988,450.880005,447.100006,,-0.008118917,-0.009367946,-0.025562603,-0.04048674,-0.040012957,-0.054764709,-0.034585973,-0.03510287,-0.029008293,-0.037148702
19,0094-06-17,458.450012,459.5743005,,455.480011,451.339996,453.089996,449.630005,442.799988,447.309998,446.070007,447.630005,444.269989,446.200012,,-0.006478353,-0.015508814,-0.011691604,-0.019238754,-0.034136817,-0.024299299,-0.027004046,-0.02360128,-0.030930358,-0.02672047
20,0094-07-19,453.859985,454.5235013,,451.600006,452.609985,453.109985,454.25,453.359985,452.570007,454.23999,458.26001,461.01001,460.559998,,-0.004979463,-0.002754153,-0.001652492,0.000859329,-0.001101661,-0.002842238,0.000837274,0.009694675,0.015753812,0.014762291
21,0094-10-04,454.589996,458.6171997,,453.519989,452.359985,455.100006,459.040009,465.790009,465.470001,467.790009,469.100006,468.959991,467.660004,,-0.002353785,-0.004905543,0.001121912,0.009789069,0.024637614,0.023933666,0.029037183,0.031918894,0.031610891,0.0287512
22,0094-11-18,461.470001,461.8994,,458.299988,450.089996,449.929993,452.290009,454.160004,455.170013,453.690002,448.920013,453.299988,453.320007,,-0.00686938,-0.024660335,-0.02500706,-0.019892933,-0.015840676,-0.013651999,-0.016859165,-0.027195675,-0.017704321,-0.01766094
23,0094-12-28,460.859985,462.4131997,,461.170013,459.269989,459.109985,460.709991,460.339996,460.679993,460.829987,461.679993,461.660004,461.640015,,0.000672716,-0.003450063,-0.003797249,-0.000325465,-0.001128301,-0.000390557,-6.51E-05,0.0017793,0.001735926,0.001692553
24,0096-07-08,652.539978,655.8053979,,654.75,656.059998,645.669983,646.190002,629.799988,628.369995,634.070007,643.559998,638.72998,633.77002,,0.003386799,0.005394336,-0.010528083,-0.009731168,-0.034848424,-0.03703985,-0.028304735,-0.013761578,-0.021163451,-0.028764457
25,0096-08-30,651.98999,656.9708997,,654.719971,655.609985,649.440002,655.679993,663.76001,663.809998,667.280029,671.150024,680.539978,683.97998,,0.004187152,0.005552225,-0.003911085,0.005659601,0.018052455,0.018129125,0.02345134,0.029387006,0.043788997,0.049065155
26,0097-03-31,757.119995,767.2990009,,759.640015,750.109985,750.320007,757.900024,762.130005,766.119995,760.599976,758.340027,737.650024,743.72998,,0.003328429,-0.009258783,-0.008981387,0.001030258,0.006617194,0.011887151,0.00459634,0.001611412,-0.025715833,-0.017685459
27,0097-04-24,771.179993,771.3595008,,765.369995,772.960022,794.049988,801.340027,798.530029,812.969971,830.289978,827.76001,815.619995,820.26001,,-0.007533907,0.002308189,0.029655846,0.039108942,0.035465178,0.054189655,0.076648753,0.073368108,0.057625979,0.063642752
28,0097-10-27,876.98999,927.2687,,921.849976,919.159973,903.679993,914.619995,938.98999,940.76001,942.76001,938.030029,927.51001,921.130005,,0.051152221,0.048084908,0.030433646,0.042908135,0.07069636,0.07271465,0.074995178,0.069601751,0.057606154,0.050331264
29,0097-12-23,939.130005,943.4531,,932.700012,936.460022,953.349976,970.840027,970.429993,975.039978,977.070007,966.580017,964,956.049988,,-0.006846755,-0.002843039,0.015141643,0.033765317,0.033328706,0.038237489,0.040399095,0.029229193,0.026481951,0.018016657
30,0098-01-09,927.690002,945.8096997,,939.210022,952.119995,957.940002,950.72998,961.51001,978.599976,970.809998,963.039978,957.590027,956.950012,,0.012417963,0.02633422,0.032607875,0.024835859,0.036456152,0.054878218,0.04648104,0.038105376,0.032230621,0.031540719
31,0098-08-03,1112.439941,1116.895898,,1072.119995,1081.430054,1089.630005,1089.449951,1083.140015,1068.97998,1084.219971,1074.910034,1062.75,1083.670044,,-0.036244605,-0.027875561,-0.02050442,-0.020666275,-0.026338434,-0.039067243,-0.025367635,-0.033736569,-0.044667527,-0.025861978
32,0099-05-25,1284.400024,1288.501703,,1304.76001,1281.410034,1301.839966,1294.26001,1294.810059,1299.540039,1327.75,1334.52002,1317.329956,1318.640015,,0.015851748,-0.002327927,0.013578279,0.007676725,0.008104979,0.011787617,0.033751149,0.039022108,0.025638377,0.026658354
33,0099-06-11,1293.640015,1295.678104,,1294,1301.160034,1330.410034,1339.900024,1342.839966,1349,1335.880005,1333.060059,1315.780029,1315.310059,,0.000278273,0.005813069,0.028423687,0.035759569,0.038032181,0.042793965,0.032652043,0.03047219,0.017114509,0.016751217
34,0099-07-30,1328.719971,1334.236704,,1328.050049,1322.180054,1305.329956,1313.709961,1300.290039,1297.800049,1281.430054,1301.930054,1298.160034,1327.680054,,-0.000504186,-0.004921968,-0.017603419,-0.011296594,-0.021396481,-0.023270458,-0.035590582,-0.020162199,-0.022999532,-0.000782646
35,0099-08-18,1332.839966,1336.999008,,1323.589966,1336.609985,1360.219971,1363.5,1381.790039,1362.01001,1348.27002,1324.02002,1320.410034,1331.069946,,-0.006940068,0.002828561,0.020542605,0.023003537,0.036726144,0.021885631,0.011576824,-0.006617408,-0.0093259,-0.001328006
36,0099-09-14,1336.290039,1341.560808,,1317.969971,1318.47998,1335.420044,1335.530029,1307.579956,1310.51001,1280.410034,1277.359985,1283.310059,1282.199951,,-0.013709649,-0.013327989,-0.000651053,-0.000568746,-0.021484919,-0.019292241,-0.041817273,-0.044099748,-0.039647066,-0.040477805
37,0099-10-12,1313.040039,1333.345206,,1285.550049,1283.420044,1247.410034,1254.130005,1261.319946,1289.430054,1283.609985,1301.650024,1293.630005,1281.910034,,-0.02093614,-0.022558333,-0.049983247,-0.044865375,-0.039389578,-0.017981162,-0.022413676,-0.008674537,-0.014782515,-0.023708344
38,0000-01-28,1360.160034,1373.736002,,1394.459961,1409.280029,1409.119995,1424.969971,1424.369995,1424.23999,1441.719971,1411.709961,1416.829956,1387.119995,,0.025217567,0.036113394,0.035995736,0.047648759,0.047207652,0.047112071,0.059963486,0.037899898,0.041664158,0.019821168
39,0000-02-18,1346.089966,1386.0459,,1352.170044,1360.689941,1353.430054,1333.359985,1348.050049,1366.420044,1379.189941,1381.76001,1409.170044,1391.280029,,0.004516844,0.01084621,0.005452896,-0.009457006,0.001456131,0.01510306,0.02458972,0.026499004,0.04686171,0.033571354
40,0000-03-10,1395.069946,1395.844799,,1383.619995,1359.150024,1392.140015,1458.469971,1464.469971,1456.630005,1493.869995,1500.640015,1527.349976,1527.459961,,-0.008207439,-0.025747757,-0.002100204,0.045445768,0.049746628,0.044126862,0.070820857,0.075673675,0.09481964,0.094898478
41,0000-04-14,1356.560059,1427.656497,,1401.439941,1441.609985,1427.469971,1434.540039,1429.859985,1477.439941,1460.98999,1464.920044,1452.430054,1468.25,,0.033083594,0.06269529,0.052271856,0.057483618,0.054033675,0.089107652,0.076981428,0.079878502,0.070671397,0.082333208
42,0000-05-03,1415.099976,1430.949897,,1409.569946,1432.630005,1424.170044,1412.140015,1383.050049,1407.810059,1420.959961,1452.359985,1466.040039,1447.800049,,-0.003907872,0.012387838,0.006409489,-0.002091697,-0.022648525,-0.005151521,0.00414104,0.026330301,0.035997501,0.02310796
43,0000-05-19,1406.949951,1431.040598,,1400.719971,1373.859985,1399.050049,1381.52002,1378.02002,1422.449951,1420.599976,1448.810059,1477.26001,1467.630005,,-0.004428004,-0.023518936,-0.005614913,-0.01807451,-0.020562161,0.011016739,0.009701855,0.029752379,0.04997339,0.043128794
44,0000-07-26,1452.420044,1452.526296,,1449.619995,1419.890015,1430.829956,1438.099976,1438.699951,1452.560059,1462.930054,1479.319946,1482.800049,1472.869995,,-0.001927851,-0.022397122,-0.014864906,-0.009859454,-0.009446367,9.64E-05,0.007236206,0.018520746,0.020916818,0.014079915
45,0000-09-18,1444.51001,1462.9353,,1459.900024,1451.339966,1449.050049,1448.719971,1439.030029,1427.209961,1426.569946,1458.290039,1436.51001,1436.22998,,0.010654141,0.004728216,0.003142961,0.002914456,-0.003793661,-0.011976413,-0.012419481,0.009539587,-0.00553821,-0.005732068
46,0001-05-03,1248.579956,1265.274004,,1266.609985,1263.51001,1261.199951,1255.540039,1255.180054,1245.670044,1248.920044,1249.439941,1284.98999,1288.48999,,0.014440428,0.011957627,0.010107478,0.005574399,0.005286084,-0.002330577,0.00027238,0.00068877,0.029161155,0.03196434
47,0001-05-30,1248.079956,1255.565204,,1255.819946,1260.670044,1267.109985,1283.569946,1270.030029,1276.959961,1264.959961,1254.390015,1255.849976,1241.599976,,0.006201518,0.010087565,0.015247444,0.02843567,0.017587073,0.023139547,0.013524779,0.005055813,0.006225579,-0.005191959
48,0001-07-05,1219.23999,1230.239899,,1190.589966,1198.780029,1181.52002,1180.180054,1208.140015,1215.680054,1202.449951,1214.439941,1207.709961,1215.02002,,-0.023498265,-0.016780914,-0.030937281,-0.032036298,-0.009104012,-0.002919799,-0.013770906,-0.003936919,-0.009456735,-0.003461148
49,0001-08-03,1214.349976,1216.657598,,1200.47998,1204.400024,1183.530029,1183.430054,1190.160034,1191.290039,1186.72998,1178.02002,1181.660034,1161.969971,,-0.011421745,-0.008193644,-0.02537979,-0.025462118,-0.019920075,-0.018989531,-0.022744675,-0.029917204,-0.026919704,-0.043134192
50,0001-11-28,1128.52002,1131.454503,,1140.199951,1139.449951,1129.900024,1144.800049,1170.349976,1167.099976,1158.310059,1139.930054,1136.76001,1137.069946,,0.010349777,0.00968519,0.001222844,0.014425999,0.037066206,0.034186328,0.02639744,0.010110617,0.00730159,0.007576229
51,0001-12-13,1119.380005,1124.556504,,1123.089966,1134.359985,1142.920044,1149.560059,1139.930054,1144.890015,1144.650024,1149.369995,1157.130005,1161.02002,,0.0033143,0.01338239,0.021029533,0.026961402,0.018358421,0.02278941,0.022575014,0.026791608,0.033724026,0.037199177
52,0002-01-29,1100.640015,1110.643104,,1113.569946,1130.199951,1122.199951,1094.439941,1090.02002,1083.51001,1080.170044,1096.219971,1111.939941,1107.5,,0.011747648,0.026857043,0.019588545,-0.005633153,-0.009648927,-0.015563676,-0.018598243,-0.004015885,0.010266687,0.006232724
53,0002-02-15,1104.180054,1114.311902,,1083.339966,1097.97998,1080.949951,1089.839966,1109.430054,1109.380005,1109.890015,1106.72998,1131.780029,1153.839966,,-0.018873813,-0.005615093,-0.021038329,-0.012987092,0.004754659,0.004709332,0.005171223,0.002309339,0.024995901,0.044974469
54,0002-03-25,1131.869995,1131.903804,,1138.48999,1144.579956,1147.390015,1146.540039,1136.76001,1125.400024,1126.339966,1122.72998,1125.290039,1117.800049,,0.005848724,0.01122917,0.01371184,0.012960891,0.004320297,-0.005716179,-0.004885746,-0.008075146,-0.00581335,-0.012430709
55,0002-11-11,876.190002,893.3192035,,882.950012,882.530029,904.27002,909.830017,900.359985,896.73999,914.150024,933.76001,930.549988,932.869995,,0.007715233,0.007235904,0.032047864,0.038393516,0.027585322,0.023453803,0.043323962,0.065704936,0.062041322,0.064689157
56,0002-12-19,884.25,888.9047039,,895.76001,897.380005,892.469971,889.659973,875.400024,879.390015,879.820007,909.030029,908.590027,929.01001,,0.013016692,0.014848748,0.009295981,0.006118149,-0.010008455,-0.005496166,-0.005009887,0.028023782,0.027526183,0.05061918
57,0003-01-21,887.619995,888.0776037,,878.359985,887.340027,861.400024,847.47998,858.539978,864.359985,844.609985,855.700012,860.320007,848.200012,,-0.010432404,-0.000315414,-0.029539635,-0.045222072,-0.032761787,-0.026204919,-0.048455432,-0.035961316,-0.030756391,-0.044410878
58,0003-03-24,864.22998,879.4739019,,874.73999,869.950012,868.52002,863.5,848.179993,858.47998,880.900024,876.450012,878.849976,879.929993,,0.012161126,0.006618646,0.004964003,-0.000844659,-0.01857143,-0.006653322,0.019288898,0.014139792,0.016916789,0.018166476
59,0003-04-09,865.98999,876.3557006,,871.580017,868.299988,885.22998,890.809998,879.909973,893.580017,892.01001,911.369995,919.02002,911.429993,,0.006455071,0.002667465,0.022217335,0.028660849,0.016074069,0.031859522,0.03004656,0.052402459,0.061236308,0.052471742
